sample_id,n_unfiltered,n_annotation_filtered,n_pipeline_filtered,n_low_hypoxia,pct_annotation_filtered,pct_pipeline_filtered,pct_low_hypoxia
SRR13633762,2550,1420,NA,1050,55.7,NA,41.2
SRR13884240,7011,6274,NA,5231,89.5,NA,74.6
SRR13884241,6847,6104,NA,5008,89.1,NA,73.1
SRR13884242,4197,3615,NA,2810,86.1,NA,67
SRR13884243,2134,1955,NA,1518,91.6,NA,71.1
SRR13884244,7588,6436,NA,3735,84.8,NA,49.2
SRR13884245,7628,6218,NA,3926,81.5,NA,51.5
SRR13884246,14131,8502,NA,5234,60.2,NA,37
SRR13884247,13007,8763,NA,5750,67.4,NA,44.2
SRR13884248,14434,8331,NA,2425,57.7,NA,16.8
SRR13884249,14702,8578,NA,4383,58.3,NA,29.8
SRR14800534,12805,9353,NA,8783,73,NA,68.6
SRR14800535,5481,4847,NA,4143,88.4,NA,75.6
SRR14800536,12057,8367,NA,5376,69.4,NA,44.6
SRR14800539,3257,3142,NA,2997,96.5,NA,92
SRR14800540,1580,509,NA,472,32.2,NA,29.9
SRR14800541,2785,1334,NA,1232,47.9,NA,44.2
SRR14800543,2083,1232,NA,1115,59.1,NA,53.5
SRR17960480,1866,1196,NA,1047,64.1,NA,56.1
SRR17960481,1833,1511,NA,1203,82.4,NA,65.6
SRR17960482,11782,7870,NA,7077,66.8,NA,60.1
SRR17960483,15014,8254,NA,2411,55,NA,16.1
SRR17960484,7393,4829,NA,4162,65.3,NA,56.3
SRR27187899,12945,11526,NA,10754,89,NA,83.1
SRR27187900,15718,13135,NA,13106,83.6,NA,83.4
SRR27187901,15408,12566,NA,NA,81.6,NA,NA
SRR27187902,10439,7896,NA,NA,75.6,NA,NA
NA,33,0,NA,NA,0,NA,NA
